AC,DE
K4K943,Peptide toxin T-39 
T1K852,Uncharacterized protein 
W5U062,CpTx-3g toxin 
W5U022,CpTx-1c toxin 
A0A059T2C4,CpTx-2b toxin 
A0A059T2G9,CpTx-3c toxin 
A0A059T2G7,CpTx-1h toxin 
A0A059T2C0,CpTx-3f toxin 
A0A059T2E2,CpTx-3b toxin 
A0A059T2H6,CpTx-3d toxin 
A0A059T2C5,CpTx-3e toxin 
A0A059T2H2,CpTx-1d toxin 
A0A059T2E0,CpTx-1g toxin 
A0A059T2C3,CpTx-1e toxin 
A0A059T2B5,CpTx-1f toxin 
D5J6X0,Putative mature peptide toxin-like CIGES 
D5J6X5,"Putative mature peptide toxin-like LFEC 
Putative mature sequence toxin-like LFEC "
S0F212,Omega-hexatoxin-Hvn1b_6 insecticidal toxin 
S0F205,Omega-hexatoxin-Hvn1b_2 insecticidal toxin 
S0F211,Omega-hexatoxin-Hvn1b_1 insecticidal toxin 
S0F1N1,Omega-hexatoxin-Hvn1b_3 insecticidal toxin 
S0F1M8,Omega-hexatoxin-Hi1g_2 insecticidal toxin 
S0F1N4,Omega-hexatoxin-Hi1g_1 insecticidal toxin 
K4JZ61,Peptide toxin T-48 
A0A088BPR3,Secretory peptide 
A0A023WB38,HW11c54 toxin 
A0A1D0BR98,"U19-hexatoxin_Hi1a_1 
U19-hexatoxin_Hi1a_3 
U19-hexatoxin_Hi1a_4 
U19-hexatoxin_Hi1a_6 "
A0A1D0BND6,"Omega-hexatoxin-Hi1a_6 
Omega-hexatoxin-Hi1a_7 "
A0A088BP66,Secretory peptide 
A0A088BPM5,Secretory peptide 
A0A2L2YL55,Defensin 
B3FIR1,"HWTX-Ia4 
HWTX-Ia5 "
A0A2L2YP81,Astacin-like metalloprotease toxin 
A0A1D0BZZ2,"U15-hexatoxin-Hi1a_1 
U15-hexatoxin-Hi1a_2 
U15-hexatoxin-Hi1a_3 
U15-hexatoxin-Hi1a_4 
U15-hexatoxin-Hi1a_5 
U15-hexatoxin-Hi1a_7 "
A0A1D0BRC8,"Omega-hexatoxin-Hi1h_1 
Omega-hexatoxin-Hi1h_2 
Omega-hexatoxin-Hi1h_3 
Omega-hexatoxin-Hi1h_4 "
S0F1N2,Omega/Kappa-hexatoxin-Ar1g_2 insecticidal toxin 
A0A1D0BZI7,U15-hexatoxin-Hi1a_6 
A0A1X8XKZ9,Spider toxin pi-hexatoxin-Hi1a 
A0A0C4W5S6,Clone 1378 transcribed RNA sequence 
A0A0C4W4D6,Clone 942 transcribed RNA sequence 
A0A088BP53,Secretory peptide 
A0A088BPR1,Secretory peptide 
A0A088BP67,Secretory peptide 
A0A088BP74,Secretory peptide 
A0A088BPS3,Secretory peptide 
A0A088BPG8,Secretory peptide 
A0A088BP93,Secretory peptide 
A0A088BPN3,Secretory peptide 
A0A346FPX6,MrIX 
Q5Y4X8,Toxin-like structure Agel_07 
T1KBA4,Uncharacterized protein 
T1KZ04,Uncharacterized protein 
T1KBA3,Uncharacterized protein 
A0A1D0BR69,Omega-hexatoxin-Hi2e_1 
A0A1D0BN54,Omega-hexatoxin-Hi2a_2 
A0A1D0BZZ8,U19-hexatoxin_Hi1a_5 
A0A1D0BNC2,Omega-hexatoxin-Hi2g_2 
A0A1D0C034,Omega-hexatoxin-Hi1i_1 
A0A1D0BNE8,Omega-hexatoxin-Hi1a_10 
