AC,DE - RecName: Full
P81694;,Omega-ctenitoxin-Cs1a
P0DL72;,Toxin GTx1-15 
C0HKG8; D5GSJ8; D5GSJ9; D7FBA1; D7FBA3; P86381; P86429; P86430;,DELTA-miturgitoxin-Cp1b 
C0HKG7; D5GSJ8; D5GSJ9; D7FBA1; D7FBA3; P86381; P86429; P86430;,DELTA-miturgitoxin-Cp1a 
C0HKG9; D5GSJ8; D5GSJ9; D7FBA1; D7FBA3; P86381; P86429; P86430;,DELTA-miturgitoxin-Cp1c 
P0CE80; B2KKV9; P83045; Q3HL91; Q6W8Q5; Q7YW73;,Phospholipase D LiSicTox-alphaIA1a
Q8I914;,Phospholipase D LlSicTox-alphaIII1i
P0CE79; Q5I225; Q5YD74;,Phospholipase D LrSicTox-alphaIA1ii
Q1W695;,Phospholipase D LiSicTox-alphaII1
Q1W694;,Phospholipase D LiSicTox-betaID1
P0CE83; P83046; Q2XQV2; Q6W8Q4;,Phospholipase D LiSicTox-alphaIA2ai
A0A059T2H4; C0HJD4;,DELTA-miturgitoxin-Cp2a 
Q4ZFU2;,Phospholipase D LarSicTox-alphaIB2bi
P0CE81; B2KKV9; P83045; Q3HL91; Q6W8Q5; Q7YW73;,Phospholipase D LiSicTox-alphaIA1bi
E5D3Z8;,Phospholipase D isoform 1
P49126;,Mu-diguetoxin-Dc1a
P17727;,Mu-ctenitoxin-Pn1a
P61095;,Mu-segestritoxin-Sf1a 
P0CE84; P83046; Q2XQV2; Q6W8Q4;,Phospholipase D LiSicTox-alphaIA2aii
Q5YD77;,Phospholipase D LbSicTox-alphaIB1a
O46166;,U1-agatoxin-Ta1a 
Q1KY80;,Phospholipase D LlSicTox-alphaIII1ii
Q5YD75;,Phospholipase D LrSicTox-alphaIB1
Q1KY79;,Phospholipase D LlSicTox-alphaIII2
P0CE82; B2KKV9; P83045; Q3HL91; Q6W8Q5; Q7YW73;,Phospholipase D LiSicTox-alphaIA1bii
P59367;,GAMMA-ctenitoxin-Pn1a 
D5J6X1; D5J6X4;,Omega-theraphotoxin-Cc1a 
P0DM60; R9UDZ9;,Phospholipase D LiRecDT7
A4USB4;,Phospholipase D LiSicTox-alphaV1
Q8I912;,Phospholipase D LlSicTox-betaIA1
P0CH43; D7QZ10;,Tau-theraphotoxin-Hs1a 
A0FKN6;,Astacin-like metalloprotease toxin 1
W5U5X5; A0A059T2B8; C0HJD5;,DELTA-miturgitoxin-Cp3a 
P69502;,Phospholipase D LgSicTox-alphaI-Loxn-A
Q7M485;,Phospholipase D LrSicTox-alphaI-1
Q7Z1Y7; Q7Z1N1; Q7Z1N2;,Phospholipase D LarSicTox-alphaIB2a
B2KKV6;,Phospholipase D LiSicTox-alphaIA2bi
B2KKW0;,Phospholipase D LiSicTox-alphaII2
B2KKV7;,Phospholipase D LiSicTox-alphaIA2bii
B2KKV8;,Phospholipase D LiSicTox-alphaIA2aiii
P58604;,U1-ctenitoxin-Cs1a
